Data storage initialized.

Single GPU detected. Setting up the simulation there.
Start preparing data.
Finished data prepartion.

Starting optimization.
Seed set to 1394615910

Starting individual 1 of 10 in generation 1 of 100.
Epoch 1/100 done. Train accuracy: 3.51%, Test accuracy: 4.23%, Loss: 62.40943.
Epoch 2/100 done. Train accuracy: 4.43%, Test accuracy: 3.95%, Loss: 31.82253.
Epoch 3/100 done. Train accuracy: 3.85%, Test accuracy: 3.81%, Loss: 19.33089.
Epoch 4/100 done. Train accuracy: 3.89%, Test accuracy: 4.24%, Loss: 14.25035.
Epoch 5/100 done. Train accuracy: 3.63%, Test accuracy: 3.58%, Loss: 11.69636.
Epoch 6/100 done. Train accuracy: 3.64%, Test accuracy: 4.30%, Loss: 10.27582.
Epoch 7/100 done. Train accuracy: 3.58%, Test accuracy: 4.80%, Loss: 9.64291.
Epoch 8/100 done. Train accuracy: 3.70%, Test accuracy: 3.52%, Loss: 9.21365.
Epoch 9/100 done. Train accuracy: 3.68%, Test accuracy: 4.23%, Loss: 8.86399.
Epoch 10/100 done. Train accuracy: 4.10%, Test accuracy: 3.59%, Loss: 8.53623.
Epoch 11/100 done. Train accuracy: 4.05%, Test accuracy: 3.04%, Loss: 8.29287.
Epoch 12/100 done. Train accuracy: 3.99%, Test accuracy: 4.11%, Loss: 7.99487.
Epoch 13/100 done. Train accuracy: 3.84%, Test accuracy: 4.34%, Loss: 7.83341.
Epoch 14/100 done. Train accuracy: 4.12%, Test accuracy: 3.88%, Loss: 7.72141.
Epoch 15/100 done. Train accuracy: 4.26%, Test accuracy: 3.49%, Loss: 7.53943.
Epoch 16/100 done. Train accuracy: 4.09%, Test accuracy: 4.76%, Loss: 7.50383.
Epoch 17/100 done. Train accuracy: 4.30%, Test accuracy: 3.72%, Loss: 7.42065.
Epoch 18/100 done. Train accuracy: 4.05%, Test accuracy: 4.23%, Loss: 7.51931.
Epoch 19/100 done. Train accuracy: 4.02%, Test accuracy: 2.77%, Loss: 7.38340.
Epoch 20/100 done. Train accuracy: 4.61%, Test accuracy: 4.14%, Loss: 7.45631.
Epoch 21/100 done. Train accuracy: 3.86%, Test accuracy: 3.78%, Loss: 7.41775.
Epoch 22/100 done. Train accuracy: 4.53%, Test accuracy: 4.14%, Loss: 7.29928.
Epoch 23/100 done. Train accuracy: 4.61%, Test accuracy: 4.20%, Loss: 7.16433.
Epoch 24/100 done. Train accuracy: 3.88%, Test accuracy: 3.32%, Loss: 7.14163.
Epoch 25/100 done. Train accuracy: 4.51%, Test accuracy: 4.04%, Loss: 7.11988.
Epoch 26/100 done. Train accuracy: 4.56%, Test accuracy: 4.41%, Loss: 7.06239.
Epoch 27/100 done. Train accuracy: 4.27%, Test accuracy: 3.97%, Loss: 7.08603.
Epoch 28/100 done. Train accuracy: 4.36%, Test accuracy: 3.98%, Loss: 6.95246.
Epoch 29/100 done. Train accuracy: 4.64%, Test accuracy: 3.33%, Loss: 6.86906.
Epoch 30/100 done. Train accuracy: 4.74%, Test accuracy: 3.46%, Loss: 6.86328.
Epoch 31/100 done. Train accuracy: 4.74%, Test accuracy: 4.04%, Loss: 6.90614.
Epoch 32/100 done. Train accuracy: 4.63%, Test accuracy: 4.30%, Loss: 6.78832.
Epoch 33/100 done. Train accuracy: 4.18%, Test accuracy: 3.33%, Loss: 6.75195.
Epoch 34/100 done. Train accuracy: 4.34%, Test accuracy: 3.27%, Loss: 6.65465.
Epoch 35/100 done. Train accuracy: 4.60%, Test accuracy: 4.09%, Loss: 6.70109.
Epoch 36/100 done. Train accuracy: 4.18%, Test accuracy: 4.15%, Loss: 6.73086.
Epoch 37/100 done. Train accuracy: 4.11%, Test accuracy: 4.31%, Loss: 6.68901.
Epoch 38/100 done. Train accuracy: 4.40%, Test accuracy: 4.08%, Loss: 6.60273.
Epoch 39/100 done. Train accuracy: 5.09%, Test accuracy: 3.42%, Loss: 6.59556.
Epoch 40/100 done. Train accuracy: 4.96%, Test accuracy: 3.94%, Loss: 6.63946.
Epoch 41/100 done. Train accuracy: 4.26%, Test accuracy: 5.50%, Loss: 6.64732.
Epoch 42/100 done. Train accuracy: 4.58%, Test accuracy: 3.94%, Loss: 6.78148.
